,name,description,STUSAB,latitude,longitude
0,Alabama,Montgomery,AL,32.377716,-86.300568
1,Alaska,Juneau,AK,58.301598,-134.420212
2,Arizona,Phoenix,AZ,33.448143,-112.096962
3,Arkansas,Little Rock,AR,34.746613,-92.288986
4,California,Sacramento,CA,38.576668,-121.493629
5,Colorado,Denver,CO,39.739227,-104.984856
6,Connecticut,Hartford,CT,41.764046,-72.682198
7,Delaware,Dover,DE,39.157307,-75.519722
8,Hawaii,Honolulu,HI,21.307442,-157.857376
9,Florida,Tallahassee,FL,30.438118,-84.281296
10,Georgia,Atlanta,GA,33.749027,-84.388229
11,Idaho,Boise,ID,43.617775,-116.199722
12,Illinois,Springfield,IL,39.798363,-89.654961
13,Indiana,Indianapolis,IN,39.768623,-86.162643
14,Iowa,Des Moines,IA,41.591087,-93.603729
15,Kansas,Topeka,KS,39.048191,-95.677956
16,Kentucky,Frankfort,KY,38.186722,-84.875374
17,Louisiana,Baton Rouge,LA,30.457069,-91.187393
18,Maine,Augusta,ME,44.307167,-69.781693
19,Maryland,Annapolis,MD,38.978764,-76.490936
20,Massachusetts,Boston,MA,42.358162,-71.063698
21,Michigan,Lansing,MI,42.733635,-84.555328
22,Minnesota,St. Paul,MN,44.955097,-93.102211
23,Mississippi,Jackson,MS,32.303848,-90.182106
24,Missouri,Jefferson City,MO,38.579201,-92.172935
25,Montana,Helena,MT,46.585709,-112.018417
26,Nebraska,Lincoln,NE,40.808075,-96.699654
27,Nevada,Carson City,NV,39.163914,-119.766121
28,New Hampshire,Concord,NH,43.206898,-71.537994
29,New Jersey,Trenton,NJ,40.220596,-74.769913
30,New Mexico,Santa Fe,NM,35.68224,-105.939728
31,North Carolina,Raleigh,NC,35.78043,-78.639099
32,North Dakota,Bismarck,ND,46.82085,-100.783318
33,New York,Albany,NY,42.652843,-73.757874
34,Ohio,Columbus,OH,39.961346,-82.999069
35,Oklahoma,Oklahoma City,OK,35.492207,-97.503342
36,Oregon,Salem,OR,44.938461,-123.030403
37,Pennsylvania,Harrisburg,PA,40.264378,-76.883598
38,Rhode Island,Providence,RI,41.830914,-71.414963
39,South Carolina,Columbia,SC,34.000343,-81.033211
40,South Dakota,Pierre,SD,44.367031,-100.346405
41,Tennessee,Nashville,TN,36.16581,-86.784241
42,Texas,Austin,TX,30.27467,-97.740349
43,Utah,Salt Lake City,UT,40.777477,-111.888237
44,Vermont,Montpelier,VT,44.262436,-72.580536
45,Virginia,Richmond,VA,37.538857,-77.43364
46,Washington,Olympia,WA,47.035805,-122.905014
47,West Virginia,Charleston,WV,38.336246,-81.612328
48,Wisconsin,Madison,WI,43.074684,-89.384445
49,Wyoming,Cheyenne,WY,41.140259,-104.820236
